Title,Author
The Iron Heel,Jack London
Anthem,Ayn Rand and Erin Bateman
Lilith: A Romance,George MacDonald
The Enchanted Castle,Edith Nesbit
Pollyanna,"Eleanor Hodgman Porter , Porter , and Eleanor H. Porter"
Anne of the Island,Lucy Maud Montgomery
The Blue Castle,Lucy Maud Montgomery
Of Human Bondage,William Somerset Maugham
Phantastes: A Faerie Romance for Men and Women,George MacDonald
The King in Yellow,Robert W. Chambers
The Road to Oz,L. Frank Baum
An American Tragedy,Theodore Dreiser
The Food of the Gods,H. G. Wells
Kim,Rudyard Kipling
It Can't Happen Here,Sinclair Lewis
The Last Man,Mary Shelley
The Power Of Darkness,Edith Nesbit
Daddy-Long-Legs,Jean Webster
Phoenix and the Carpet,Edith Nesbit
The Mystery of the Blue Train,Agatha Christie
Anne of Windy Willows,Lucy Maud Montgomery
Notes from the Underground,Фёдор Михайлович Достоевский
The Master and Margarita,Михаил Афанасьевич Булгаков
The Sun Also Rises,Ernest Hemingway
The First Men in the Moon,H. G. Wells
On The Beach,"Nevil Shute , Gideon Haigh , G. C. Thornley , SparkNotes Staff , and SparkNotes"
Carmilla,Joseph Sheridan Le Fanu
The Beautiful and Damned,F. Scott Fitzgerald
A Princess of Mars,Edgar Rice Burroughs
The Man in the Brown Suit,Agatha Christie
The Invisible Man,H. G. Wells
Far from the Madding Crowd,Thomas Hardy
Some merry adventures of Robin Hood of great renown in Nottinghamshire,Howard Pyle
Anne's House of Dreams,Lucy Maud Montgomery
Martin Eden,Jack London
The Book of Dragons,Edith Nesbit
"Little Princess, A","Frances Hodgson Burnett , Johanna Ward , Oxford University Press Staff , Jennifer Bassett , Justine Eyre , and Nancy Bond"
The magic mountain: [Der zauberberg],Thomas Mann
Journey to the Center of the Earth,Jules Verne
The Possessed,Фёдор Михайлович Достоевский
Momo,Michael Ende
Mrs. Dalloway,Virginia Woolf
Murder on the Links,Agatha Christie
The Riddle of the Sands,Erskine Childers
Eva Luna,Isabel Allende
Kidnapped,Robert Louis Stevenson
Funerals are Fatal,Agatha Christie
The Sleeper Awakes,H. G. Wells
A Room With a View,Edward Morgan Forster
White Fang,Jack London
My Ántonia.: With illus. by W.T. Benda.,Willa Cather
Murder in Mesopotamia,Agatha Christie
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy"
The Phantom of the Opera,Gaston Leroux
The water-babies: a fairy tale for a land-baby,Charles Kingsley and Charles Kingsley
Ivanhoe,Sir Walter Scott
The Valley of Fear,Arthur Conan Doyle
Appointment with death,Agatha Christie
The Silver Chair,C.S. Lewis
The Last Battle,C.S. Lewis
The Plague,Albert Camus
Demian: the story of Emil Sinclair's youth,Hermann Hesse
The Martian Chronicles,Ray Bradbury
Anne of Avonlea,Lucy Maud Montgomery
Cranford: With a pref. by Anne Thackeray Ritchie,Elizabeth Cleghorn Gaskell
Tik-Tok of Oz,L. Frank Baum
The Silmarillion,J.R.R. Tolkien
The Secret of Chimneys,Agatha Christie
The Twits,Roald Dahl
The Lost World,Arthur Conan Doyle
The war of the worlds,H. G. Wells
The Magician's Nephew,C.S. Lewis
The Pickwick papers,"Charles Dickens , A. G. Eyre , David Foulds , Federigo Verdinois , Pierre Grollier , JUAN DE PASO , José María Valverde Pacheco , and Josep Carner"
The legend of Sleepy Hollow,Washington Irving
Steppenwolf,Hermann Hesse
Women in Love,David Herbert Lawrence
The Godfather,Mario Puzo
The Time Machine,H. G. Wells
The Mirror Crack'd from Side to Side,Agatha Christie
"The story of Doctor Dolittle: being the history of his peculiar life at home and astonishing adventuresin foreign parts, never before printed",Hugh Lofting
A Connecticut Yankee in King Arthur's Court,Mark Twain
Poirot Investigates,Agatha Christie
His Last Bow,Arthur Conan Doyle
Dangerous Liaisons,Pierre Choderlos de Laclos
The Pearl: Grades 7-8,John Steinbeck
The Land of Oz: A sequel to The Wizard of Oz,L. Frank Baum
Lady Susan,Jane Austen
From the Earth to the Moon,Jules Verne
The Prince and the Pauper,Mark Twain
The Woman in White: Grangerized Edition,Wilkie Collins
"Good Wives: Little Women, Part 2",Louisa May Alcott
Whose Body?,Dorothy L. Sayers
Penguin Readers Level 5: “2001”: A Space Odyssey,Arthur C. Clarke
The Murders in the Rue Morgue,Edgar Allan Poe
What Mrs. McGillicuddy Saw!,Agatha Christie
The Three Musketeers,Alexandre Dumas and Auguste Maquet
Curtain : Poirot's Last Case: A Hercule Poirot Mystery,Agatha Christie
The Tale of Genji,Murasaki Shikibu
The Awakening,Kate Chopin
Murder with Mirrors,Agatha Christie
Le Comte De Monte-Cristo,Alexandre Dumas
Three Men in a Boat,Jerome Klapka Jerome
The Secret Adversary,Agatha Christie
Rebecca,Daphne du Maurier
Waves (Vintage Classics Woolf Series),Virginia Woolf
Emma,Jane Austen
The Handmaid's Tale,Margaret Atwood
Anne of Green Gables,Lucy Maud Montgomery
The Picture of Dorian Gray,"Oscar Wilde , Oscar Wilde , and Oscar Wilde"
One Flew Over the Cuckoo's Nest,Ken Kesey
Remembered Death,Agatha Christie
The Big Sleep,Raymond Chandler
Ulysses,James Joyce
The great god Pan,Arthur Machen
At Bertram's Hotel,Agatha Christie
The Castle of Otranto,Horace Walpole
Five Children and It,Edith Nesbit
The Secret Agent: A Simple Tale,Joseph Conrad
Ethan Frome,Edith Wharton
The Scarlet Letter,Nathaniel Hawthorne
